,suburb,propert_desc,address,price,property_details,property_features,image
13,"Fourways, Sunninghill and Lonehill",2 Bed Apartment in Paulshof,"172 The Quails, 138 Holkam Road",R 999 000,"['Listing number\nT3739412', 'Property type\nApartment', 'Erf size\n59 m²', 'Floor size\n59 m²', 'Rates and taxes\nR 532', 'Levies\nR 1 732']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1050/21/8743050/images/property-8743050-3248598_dhd.jpg
14,"Fourways, Sunninghill and Lonehill",2 Bed Apartment in Paulshof,"223 The Quails, 138 Holkam Road",R 1 170 000,"['Listing number\nT4368340', 'Property type\nApartment', 'Erf size\n59 m²', 'Floor size\n59 m²', 'Rates and taxes\nR 662', 'Levies\nR 1 704']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n1']",https://helium.privateproperty.co.za/live-za-images/property/1142/25/9951142/images/property-9951142-60776776_dhd.jpg
15,"Fourways, Sunninghill and Lonehill",3 Bed House in Fourways,"22331 Lion Pride Lifestyle Estate, 22331 Abednedo Avenue",R 1 215 418,"['Listing number\nT4792950', 'Property type\nHouse', 'Erf size\n240 m²', 'Floor size\n62 m²', 'Rates and taxes\nR 1 000', 'Levies\nR 1 000']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/770/32/10664770/images/property-10664770-25933361_dhd.jpg
16,"Fourways, Sunninghill and Lonehill",3 Bed House in Fourways,"22213 Lion Pride Lifestyle Estate, 22213 Indigo Walk",R 1 215 418,"['Listing number\nT4740276', 'Property type\nHouse', 'Erf size\n62 m²', 'Floor size\n240 m²', 'Rates and taxes\nR 1 000', 'Levies\nR 1 000']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1242/37/10575242/images/property-10575242-99826058_dhd.jpg
17,"Fourways, Sunninghill and Lonehill",2 Bed Apartment in Broadacres,"215 Maroela View, 4 Poplar Avenue Craigavon",R 1 220 000,"['Listing number\nT4445920', 'Property type\nApartment', 'Floor size\n73 m²', 'Levies\nR 1 117']","['Bedrooms\n2', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1']",https://helium.privateproperty.co.za/live-za-images/property/1026/43/10087026/images/property-10087026-23131318_dhd.jpg
18,"Fourways, Sunninghill and Lonehill",3 Bed Apartment in Paulshof,"I1 Lavender Lane, 1 Estelle Road",R 1 290 000,"['Listing number\nT4737540', 'Property type\nApartment', 'Floor size\n166 m²', 'Rates and taxes\nR 1 094', 'Levies\nR 3 762']","['Bedrooms\n3', 'Bathrooms\n3', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/368/35/10570368/images/property-10570368-80805157_dhd.jpg
19,"Fourways, Sunninghill and Lonehill",2 Bed Apartment in Broadacres,"202 Maroela View, 4 Poplar Avenue Craigavon",R 1 295 000,"['Listing number\nT4445881', 'Property type\nApartment', 'Floor size\n74 m²', 'Levies\nR 1 134']","['Bedrooms\n2', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1']",https://helium.privateproperty.co.za/live-za-images/property/945/43/10086945/images/property-10086945-75629513_dhd.jpg
20,"Fourways, Sunninghill and Lonehill",2 Bed Apartment in Paulshof,"81 The Quails, 138 Holkam Road",R 1 390 950,"['Listing number\nT3962525', 'Property type\nApartment', 'Erf size\n81 m²', 'Floor size\n81 m²', 'Rates and taxes\nR 948', 'Levies\nR 2 385']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/801/48/9196801/images/property-9196801-82219839_dhd.jpg
21,"Fourways, Sunninghill and Lonehill",2 Bed Apartment in Paulshof,"Bw Bogoria, 123 Wroxham Road",R 1 395 000,"['Listing number\nT4745520', 'Property type\nApartment', 'Floor size\n165 m²', 'Rates and taxes\nR 950', 'Levies\nR 3 899']","['Bedrooms\n2', 'Bathrooms\n3', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2', 'Storeys\n2']",https://helium.privateproperty.co.za/live-za-images/property/368/42/10584368/images/property-10584368-34934683_dhd.jpg
22,"Fourways, Sunninghill and Lonehill",2 Bed Apartment in Paulshof,"83 The Quails, 138 Holkam Road",R 1 439 100,"['Listing number\nT3300638', 'Property type\nApartment', 'Erf size\n123 m²', 'Floor size\n123 m²', 'Rates and taxes\nR 988', 'Levies\nR 3 300']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/576/7/7814576/images/property-7814576-53083978_dhd.jpg
