,suburb,propert_desc,address,price,property_details,property_features,image
68,Rosebank and Parktown,2 Bed Apartment in Parktown,"1105 Majestic Towers, 38 Empire Road",R 550 000,"['Listing number\nT4224917', 'Property type\nApartment', 'Erf size\n1.1 ha', 'Floor size\n109 m²', 'Rates and taxes\nR 576', 'Levies\nR 1 892']","['Bedrooms\n2', 'Bathrooms\n1.5']",https://helium.privateproperty.co.za/live-za-images/property/79/42/9684079/images/property-9684079-92359788_dhd.jpg
69,Rosebank and Parktown,1 Bed Apartment in Norwood,"5 Eliana Court, 2 Paterson Road",R 575 000,"['Listing number\nT4519841', 'Property type\nApartment', 'Floor size\n83 m²', 'Rates and taxes\nR 499', 'Levies\nR 2 864']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n1']",https://helium.privateproperty.co.za/live-za-images/property/1066/5/10211066/images/property-10211066-44328946_dhd.jpg
70,Rosebank and Parktown,2 Bed Apartment in Orchards,"102 Oaklands Place, 66 Oaklands Road",R 590 000,"['Listing number\nT4258296', 'Property type\nApartment', 'Floor size\n105 m²', 'Rates and taxes\nR 418', 'Levies\nR 3 130']","['Bedrooms\n2', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n1']",https://helium.privateproperty.co.za/live-za-images/property/380/24/9748380/images/property-9748380-21161530_dhd.jpg
71,Rosebank and Parktown,1 Bed Apartment in Orchards,"209 Oaklands Place, 66 Oaklands Road",R 610 000,"['Listing number\nT4558507', 'Property type\nApartment', 'Erf size\n78 m²', 'Rates and taxes\nR 277', 'Levies\nR 2 846']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n1']",https://helium.privateproperty.co.za/live-za-images/property/1990/35/10271990/images/property-10271990-62686005_dhd.jpg
72,Rosebank and Parktown,1 Bed Apartment in Parktown,"203 Mostyn Hall, 7 Princess Place",R 650 000,"['Listing number\nT11733', 'Property type\nApartment', 'Floor size\n93 m²', 'Rates and taxes\nR 1 100', 'Levies\nR 2 200']","['Bedrooms\n1', 'Bathrooms\n1.5', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n1', 'Storeys\n1']",https://helium.privateproperty.co.za/live-za-images/property/1885/45/9991885/images/property-9991885-96973472_dhd.jpg
73,Rosebank and Parktown,1 Bed Apartment in Parktown,"13 San Francisco, 11 Clarendon Place",R 650 000,"['Listing number\nT4739610', 'Property type\nApartment', 'Floor size\n77 m²', 'Rates and taxes\nR 344', 'Levies\nR 1 518']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Garages\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/78/37/10574078/images/property-10574078-67415791_sd.jpg
74,Rosebank and Parktown,Studio Apartment in Killarney,"31 Hampshire House, 1 3rd Street",R 650 000,"['Listing number\nT4448065', 'Property type\nApartment', 'Floor size\n62 m²', 'Rates and taxes\nR 798', 'Levies\nR 2 686']","['Bedrooms\n0.5', 'Bathrooms\n1', 'Lounges\n1', 'Dining Areas\n1']",https://helium.privateproperty.co.za/live-za-images/property/837/45/10090837/images/property-10090837-28081541_dhd.jpg
75,Rosebank and Parktown,2 Bed Apartment in Parktown,"105 Majestic Towers, 38 Empire Road",R 690 000,"['Listing number\nT4513037', 'Property type\nApartment', 'Floor size\n109 m²', 'Rates and taxes\nR 577', 'Levies\nR 3 801']","['Bedrooms\n2', 'Bathrooms\n1', 'Garages\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/152/0/10200152/images/property-10200152-85196638_sd.jpg
76,Rosebank and Parktown,2 Bed Apartment in Parktown,38 Empire Road,R 690 000,"['Listing number\nT4412460', 'Property type\nApartment', 'Floor size\n109 m²', 'Rates and taxes\nR 577', 'Levies\nR 1 892']","['Bedrooms\n2', 'Bathrooms\n1.5', 'Lounges\n2', 'Garages\n1', 'Open Parkings\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1296/15/10031296/images/property-10031296-5977738_sd.jpg
77,Rosebank and Parktown,2 Bed Apartment in Parktown,38 Empire Road,R 695 000,"['Listing number\nT4544675', 'Property type\nApartment', 'Floor size\n109 m²', 'Levies\nR 1 900']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n1', 'Garages\n1', 'Open Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1782/24/10249782/images/property-10249782-34646275_sd.jpg
