,suburb,propert_desc,address,price,property_details,property_features,image
196,Modderfontein,3 Bed Townhouse in Modderfontein,,R 1 190 000,"['Listing number\nT4720506', 'Property type\nTownhouse', 'Floor size\n86 m²', 'Rates and taxes\nR 1 113', 'Levies\nR 1 992']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1']",https://helium.privateproperty.co.za/live-za-images/property/1354/20/10541354/images/property-10541354-23432400_dhd.jpg
197,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 190 000,"['Listing number\nT4628561', 'Property type\nApartment', 'Erf size\n86 m²', 'Floor size\n86 m²', 'Rates and taxes\nR 1 065', 'Levies\nR 2 600']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1830/42/10385830/images/property-10385830-72625983_sd.jpg
198,Modderfontein,2 Bed Apartment in Modderfontein,,R 1 200 000,"['Listing number\nT4702169', 'Property type\nApartment', 'Floor size\n76 m²', 'Rates and taxes\nR 959', 'Levies\nR 2 407']","['Bedrooms\n2', 'Bathrooms\n2', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1405/4/10509405/images/property-10509405-35519493_dhd.jpg
199,Modderfontein,2 Bed Apartment in Modderfontein,,R 1 240 000,"['Listing number\nT4775984', 'Property type\nApartment', 'Floor size\n92 m²', 'Levies\nR 2 006']","['Bedrooms\n2', 'Bathrooms\n2', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/152/18/10636152/images/property-10636152-54357161_dhd.jpg
200,Modderfontein,2 Bed Townhouse in Modderfontein,,R 1 249 900,"['Listing number\nT4559742', 'Property type\nTownhouse', 'Erf size\n76 m²', 'Rates and taxes\nR 959', 'Levies\nR 2 406']","['Bedrooms\n2', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Covered Parkings\n2', 'Storeys\n1']",https://helium.privateproperty.co.za/live-za-images/property/1933/36/10273933/images/property-10273933-38832977_sd.jpg
201,Modderfontein,2 Bed Apartment in Modderfontein,,POA,"['Listing number\nT4733379', 'Property type\nApartment', 'Erf size\n106 m²', 'Floor size\n106 m²', 'Rates and taxes\nR 1 471', 'Levies\nR 1 535']","['Bedrooms\n2', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1166/31/10563166/images/property-10563166-45065613_sd.jpg
202,Modderfontein,2 Bed Townhouse in Modderfontein,,R 1 250 000,"['Listing number\nT4719220', 'Property type\nTownhouse', 'Floor size\n76 m²', 'Rates and taxes\nR 1 002']","['Bedrooms\n2', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1102/19/10539102/images/property-10539102-33930871_sd.jpg
203,Modderfontein,2 Bed Apartment in Modderfontein,,R 1 250 000,"['Listing number\nT4711037', 'Property type\nApartment', 'Erf size\n7 420 m²', 'Floor size\n106 m²', 'Rates and taxes\nR 1 520', 'Levies\nR 2 690']","['Bedrooms\n2', 'Bathrooms\n2', 'Lounges\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1001/12/10525001/images/property-10525001-69182486_dhd.jpg
204,Modderfontein,3 Bed Townhouse in Modderfontein,,R 1 250 000,"['Listing number\nT4615669', 'Property type\nTownhouse', 'Floor size\n84 m²', 'Rates and taxes\nR 710', 'Levies\nR 1 952']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1798/31/10363798/images/property-10363798-35522214_dhd.jpg
205,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 250 000,"['Listing number\nT4474597', 'Property type\nApartment', 'Erf size\n75 m²', 'Floor size\n75 m²', 'Rates and taxes\nR 600', 'Levies\nR 1 774']","['Bedrooms\n3', 'Bathrooms\n3', 'En-suite\n1', 'Lounges\n1', 'Open Parkings\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/655/19/10138655/images/property-10138655-62257589_sd.jpg
206,Modderfontein,2 Bed Townhouse in Modderfontein,,R 1 260 000,"['Listing number\nT4478698', 'Property type\nTownhouse', 'Floor size\n106 m²', 'Rates and taxes\nR 950', 'Levies\nR 2 700']","['Bedrooms\n2', 'Bathrooms\n2', 'Lounges\n1']",https://helium.privateproperty.co.za/live-za-images/property/1383/22/10145383/images/property-10145383-24647151_sd.jpg
207,Modderfontein,2 Bed Townhouse in Modderfontein,,R 1 290 000,"['Listing number\nT4804765', 'Property type\nTownhouse', 'Erf size\n92 m²', 'Floor size\n92 m²', 'Rates and taxes\nR 1 059', 'Levies\nR 2 595']","['Bedrooms\n2', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Open Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/564/42/10684564/images/property-10684564-27744996_dhd.jpg
